is_ares;code;title_en;title_fr
;0110;Education, not further defined;Enseignement, non défini précisément
ARES;0111;Education science;Sciences de l'éducation
;0112;Training for pre-school teachers;Formation pour les enseignants d'école maternelle
;0113;Teacher training without subject specialization;Formation des enseignants
ARES;0114;Teacher training with subject specialization;Formation des enseignants avec spécialisation
;0119;Education, not elsewhere classified;Enseignement, non classé ailleurs
;0188;Education, inter-disciplinary programmes;Programmes inter-disciplinaires et qualifications en lien avec l'enseignement
;0210;Arts, not further defined;Arts, non défini précisément
;0211;Audio-visual techniques and media production;Techniques audio-visuelles et des médias
;0212;Fashion, interior and industrial design;Mode, design d'intérieur et design industriel
;0213;Fine arts;Les beaux arts
;0214;Handicrafts;Artisanat
ARES;0215;Music and performing arts;Musique, théâtre, danse, cirque
;0219;Arts, not elsewhere classified;Arts, non classé ailleurs
;0220;Humanities (except languages), not further defined;Sciences humaines (sauf langues), pas plus défini
ARES;0221;Religion and theology;Religion et théologie
ARES;0222;History and archaeology;Histoire et archéologie
ARES;0223;Philosophy and ethics;Philosophie et morale
;0229;Humanities (except languages), not elsewhere classified;Sciences humaines (sauf langues), non classé ailleurs
ARES;0230;Languages;Langues
ARES;0231;Language acquisition;Acquisition d'une langue
ARES;0232;Literature and linguistics;Littérature et linguistique
;0239;Languages, not elsewhere classified;Langues, non classé ailleurs
;0288;Arts and humanities, inter-disciplinary programmes;Arts et sciences humaines, cursus interdisciplinaires
ARES;0310;Social and behavioural sciences;Sciences sociales et du comportement
ARES;0311;Economics;Économie
ARES;0312;Political sciences and civics;Sciences politiques et éducation civique
ARES;0313;Psychology;Psychologie
ARES;0314;Sociology and cultural studies;Sociologie et études culturelles
ARES;0318;Social and behavioural sciences;Sciences sociales et du comportement
;0319;Social and behavioural sciences, not elsewhere classified;Sciences sociales et comportementales, non classé ailleurs
;0320;Journalism and information, not further defined;Journalisme et information, non défini précisément
ARES;0321;Journalism and reporting;Journalisme et reportage
;0322;Library, information and archival studies;Libraire, documentaliste, archiviste
;0329;Journalism and information, not elsewhere classified;Journalisme et information, non classé ailleurs
;0388;Social sciences, journalism and information, inter-disciplinary programmes;Sciences sociales, journalisme et information, cursus interdisciplinaires
;0410;Business and administration, not further defined;Monde des affaires et administration, non défini précisément
;0411;Accounting and taxation;Comptabilité et fiscalité
;0412;Finance, banking and insurance;Finances, Banques et Assurances
ARES;0413;Management and administration;Gestion et administration
ARES;0414;Marketing and advertising;Marketing et publicité
;0415;Secretarial and office work;Travail de secrétariat et de bureau
;0416;Wholesale and retail sales;Vente en gros et au détail
;0417;Work skills;Compétences professionnelles
;0419;Business and administration, not elsewhere classified;Monde des affaires et administration, non classé ailleurs
